tool_id,name,homepage_url,description_short,description_long,category,subcategory,tags_csv,pricing_model,price_low_usd,price_high_usd,free_tier,trial_days,plan_notes,api_available,zapier,make,n8n,webhooks,integrations_csv,gdpr,soc2,hipaa,oauth,sso,rbac,accuracy_score,speed_score,cost_efficiency_score,integrations_score,data_control_score,learning_curve_score,longevity_score,total_score,reviewer_urls_csv
perplexity,Perplexity,https://www.perplexity.ai,Cited AI research,Research assistant with up-to-date web answers,Research & Strategy,,"research,qa",freemium,0,20,True,7,,True,True,True,False,True,"Zapier,Make,Notion,Slack",True,True,False,True,False,True,4.3,4.5,4.0,4.2,3.5,4.2,4.4,0,https://youtu.be/x
chatgpt,ChatGPT,https://chat.openai.com,Generalist AI,Advanced reasoning & content generation,Copy & Content,,"llm,chat",per_user,20,60,False,0,,True,True,True,True,True,"Zapier,Make,Slack,Sheets",True,True,False,True,False,True,4.6,4.4,3.5,3.8,3.5,3.5,4.5,0,https://youtu.be/x
claude,Claude,https://claude.ai,Long-context AI,Great for long briefs/outlines,Copy & Content,,"llm,chat",per_user,20,60,False,0,,True,True,True,True,True,"Zapier,Make,Slack,Notion",True,True,False,True,False,True,4.5,4.3,3.6,3.8,3.6,3.6,4.4,0,https://youtu.be/x
surfer,Surfer,https://surferseo.com,On-page SEO,AI briefs and content editor,SEO,,"seo,onpage",per_user,29,119,False,7,,False,True,True,False,False,"Zapier,Make",False,False,False,False,False,False,4.2,4.0,3.6,4.0,3.0,3.6,4.0,0,https://youtu.be/x
frase,Frase,https://frase.io,SEO briefs,SERP analysis and outlines,SEO,,"seo,briefs",per_user,15,115,False,5,,False,True,True,False,False,"Zapier,Make",False,False,False,False,False,False,4.0,3.8,3.8,3.8,3.0,3.7,3.9,0,https://youtu.be/x
runway,Runway,https://runwayml.com,AI video,Gen-video and editing,Video Creation & Editing,,"video,t2v",credit_based,0,35,True,0,,True,False,False,False,False,"Premiere,AE",False,False,False,False,False,False,4.4,4.5,3.5,3.5,3.0,3.5,4.3,0,https://youtu.be/x
adcreative,AdCreative.ai,https://www.adcreative.ai,Ad creative variants,Generates ad sets and scores,Ads & Creatives,,"ads,creatives",per_user,29,99,False,7,,True,True,True,False,True,"Meta,Google,Canva",False,False,False,False,False,False,4.0,4.1,3.4,3.8,3.0,3.7,4.0,0,https://youtu.be/x
buffer,Buffer,https://buffer.com,Social scheduler,Plan and publish across networks,Social & Scheduling,,"social,scheduler",per_user,0,15,True,14,,True,True,True,True,True,"Zapier,Make,Meta,X",False,False,False,False,False,False,3.8,4.0,4.2,3.6,3.0,4.2,4.0,0,https://youtu.be/x
intercom,Intercom (Fin),https://intercom.com,AI support,Automated support with KB,Support & CX,,"support,chat",per_user,0,99,True,14,,True,True,True,True,True,"Zapier,Make,Slack,HubSpot",True,True,False,True,True,True,4.1,4.1,3.2,4.0,4.4,3.8,4.2,0,https://youtu.be/x
n8n,n8n,https://n8n.io,Open-source automations,Self-hostable workflow engine,Automation & Agents,,"automations,workflows",freemium,0,50,True,0,,True,False,False,True,True,"Webhook,REST",False,False,False,False,False,False,3.9,3.9,4.5,4.2,3.2,3.5,4.1,0,https://youtu.be/x
